TX_0000,"\col(1)1ルピ-\col(0)手に入れた!
。。。"
TX_055c,"\pos(2)\col(3)ツインロ-バ\col(0)のおもわくどおり
“なげき”で イッパイになった
世界なんて ダメだよね!!\stop
\jump(TX_0560)"
TX_055f,"\pos(2)\Linkさま
こんなわたしが いうのも
なんだけど。。。\stop
“なげき”で イッパイになった
世界なんて ダメだよね!!"
TX_0560,"\pos(2)だから むかしの\col(3)暗黒の塔\col(0)で
\col(3)アンビ女王\col(0)を とめて
\col(3)ベラン\col(0)をたおさないと!
おねがい! がんばって!"
TX_0561,"\pos(2)ぼうけん者の ひつじゅひん
\col(1)木の実ぶくろ\col(0)と\col(1)アチチの実\col(0)よ
中に入っている\col(1)アチチの実\col(0)は
暗いトコロで アカリをつけたり
小さな木を もやすことができるの
きっと やくに たつとおもうわ"
TX_0562,"やったわね!
さすが \Linkさま!
きっと やってくれるって
しんじていたわ!
ここは わたしにまかせて!"
TX_0563,"やったわね!
さすが \Linkさま!
きっと やってくれるって
しんじていたわ!
ここは わたしにまかせて!"
TX_0564,"\pos(2)はじめまして
よくきてくれたわ 勇者さま
わたしが ここ\col(3)ラブレンヌ\col(0)の
まもりがみ \col(3)マカの木\col(0)です\stop
闇のしさい\col(3)ベラン\col(0)が
時のみこ\col(3)ネ-ル\col(0)をつれさり
むかしの世界から 時のながれを
あやつっているの
この世界を “なげき”の力で
おおいつくそうと しているのよ
心悪しき者に 世界を
ゆだねては ダメ!
いっこくも はやく \col(3)ベラン\col(0)を
たおさなければ ならないわ
そこで \col(3)ベラン\col(0)を たおすために
とても たいせつなコトがあるの
それは。。。"
TX_0565,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0566,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0567,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0568,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0569,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_056a,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_056b,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_056c,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_056d,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_056e,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_056f,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0570,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0571,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0590,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0591,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0572,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0573,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0592,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0593,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0574,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0575,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0594,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0595,"\pos(2)\col(3)西のもり\col(0)から \col(1)ことわり\col(0)の
とっても よいオトがするのです!
いったほうが よいのですよ!"
TX_0576,"\pos(2)\col(3)ミカヅキじま\col(0)は
海をこえた むこうがわ!
村のうみべなら くわしい人が
いるかもしれないですよ!"
TX_0577,"\pos(2)\col(3)ミカヅキじま\col(0)は
海をこえた むこうがわ!
村のうみべなら くわしい人が
いるかもしれないですよ!"
TX_0596,"\pos(2)\col(3)ミカヅキじま\col(0)は
海をこえた むこうがわ!
村のうみべなら くわしい人が
いるかもしれないですよ!"
TX_0597,"\pos(2)\col(3)ミカヅキじま\col(0)は
海をこえた むこうがわ!
村のうみべなら くわしい人が
いるかもしれないですよ!"
TX_0578,"\pos(2)\col(3)暗黒の塔\col(0)が だんだん
たか〜くなってきたのです!
とっても イヤなかんじが
するのです。。。"
TX_0579,"\pos(2)\col(3)暗黒の塔\col(0)が だんだん
たか〜くなってきたのです!
とっても イヤなかんじが
するのです。。。"
TX_0598,"\pos(2)\col(3)暗黒の塔\col(0)が だんだん
たか〜くなってきたのです!
とっても イヤなかんじが
するのです。。。"
TX_0599,"\pos(2)\col(3)暗黒の塔\col(0)が だんだん
たか〜くなってきたのです!
とっても イヤなかんじが
するのです。。。"
TX_057a,"\pos(2)ゴロンぞくの チョ-ロ-さまが
いきうめに なっちゃいました!
で \Linkにいさま!
「チョ-ロ-」って なんですか?"
TX_057b,"\pos(2)ゴロンぞくの チョ-ロ-さまが
いきうめに なっちゃいました!
で \Linkにいさま!
「チョ-ロ-」って なんですか?"
TX_059a,"\pos(2)ゴロンぞくの チョ-ロ-さまが
いきうめに なっちゃいました!
で \Linkにいさま!
「チョ-ロ-」って なんですか?"
TX_059b,"\pos(2)ゴロンぞくの チョ-ロ-さまが
いきうめに なっちゃいました!
で \Linkにいさま!
「チョ-ロ-」って なんですか?"
TX_057c,"\pos(2)え-っ!!\Linkにいさまって
ゴロンぞくの えいゆうさん
だったのですか-!!
知らなかったです- でも
スゴイです-!カッコイイです-!"
TX_057d,"\pos(2)え-っ!!\Linkにいさまって
ゴロンぞくの えいゆうさん
だったのですか-!!
知らなかったです- でも
スゴイです-!カッコイイです-!"
TX_059c,"\pos(2)え-っ!!\Linkにいさまって
ゴロンぞくの えいゆうさん
だったのですか-!!
知らなかったです- でも
スゴイです-!カッコイイです-!"
TX_059d,"\pos(2)え-っ!!\Linkにいさまって
ゴロンぞくの えいゆうさん
だったのですか-!!
知らなかったです- でも
スゴイです-!カッコイイです-!"
TX_057e,"\pos(2)ゴロンのみなさんが とっても
たのしいことを しているのです!
アタシも まぜてほしいです-!"
TX_057f,"\pos(2)ゴロンのみなさんが とっても
たのしいことを しているのです!
アタシも まぜてほしいです-!"
TX_059e,"\pos(2)ゴロンのみなさんが とっても
たのしいことを しているのです!
アタシも まぜてほしいです-!"
TX_059f,"\pos(2)ゴロンのみなさんが とっても
たのしいことを しているのです!
アタシも まぜてほしいです-!"
TX_0580,"\pos(2)\Linkにいさま。。。
おあいできるのは ウレシイですが
はやく \col(3)ネ-ル\col(0)ねえさまを
たすけてくださいです。。。"
TX_0581,"\pos(2)\Linkにいさま。。。
おあいできるのは ウレシイですが
はやく \col(3)ネ-ル\col(0)ねえさまを
たすけてくださいです。。。"
TX_05a0,"\pos(2)\Linkにいさま。。。
おあいできるのは ウレシイですが
はやく \col(3)ネ-ル\col(0)ねえさまを
たすけてくださいです。。。"
TX_05a1,"\pos(2)\Linkにいさま。。。
おあいできるのは ウレシイですが
はやく \col(3)ネ-ル\col(0)ねえさまを
たすけてくださいです。。。"
TX_0582,"\pos(2)みなみの海が
ヨゴレているらしいのです!
ダメなのです! 海はキレイに
するのです!"
TX_0583,"\pos(2)みなみの海が
ヨゴレているらしいのです!
ダメなのです! 海はキレイに
するのです!"
TX_05a2,"\pos(2)みなみの海が
ヨゴレているらしいのです!
ダメなのです! 海はキレイに
するのです!"
TX_05a3,"\pos(2)みなみの海が
ヨゴレているらしいのです!
ダメなのです! 海はキレイに
するのです!"
TX_0584,"\pos(2)にいさま! とうとう さいごの
\col(1)ことわり\col(0)なのですね!
アタシ おうえんしているのです!"
TX_0585,"\pos(2)にいさま! とうとう さいごの
\col(1)ことわり\col(0)なのですね!
アタシ おうえんしているのです!"
TX_05a4,"\pos(2)にいさま! とうとう さいごの
\col(1)ことわり\col(0)なのですね!
アタシ おうえんしているのです!"
TX_05a5,"\pos(2)にいさま! とうとう さいごの
\col(1)ことわり\col(0)なのですね!
アタシ おうえんしているのです!"
TX_0586,"\pos(2)アタシがオトナになったら
あいにきてください!
アタシは にいさまがくるのを
ずっと ず〜っと まつのです!"
TX_0587,"\pos(2)アタシがオトナになったら
あいにきてください!
アタシは にいさまがくるのを
ずっと ず〜っと まつのです!"
TX_05a6,"\pos(2)アタシがオトナになったら
あいにきてください!
アタシは にいさまがくるのを
ずっと ず〜っと まつのです!"
TX_05a7,"\pos(2)アタシがオトナになったら
あいにきてください!
アタシは にいさまがくるのを
ずっと ず〜っと まつのです!"
TX_0588,"\pos(2)あ! あ! あ! にいさま!
まさか またあえるなんて。。。
アタシ にいさまの おやくに
たてましたか?\n"
TX_0589,"\pos(2)\col(3)ベラン\col(0)は \col(3)暗黒の塔\col(0)のイチバン上に
いるのです!"
TX_058a,"\pos(2)にいさま! アタシ ぜ〜ったい
ステキな オトナに なるのです!
。。。まっていて くれますか?"
TX_058b,"\pos(2)にいさま! アタシ ぜ〜ったい
ステキな オトナに なるのです!
。。。まっていて くれますか?"
TX_058c,"\pos(2)にいさま! アタシ ぜ〜ったい
ステキな オトナに なるのです!
。。。まっていて くれますか?"
TX_058d,"\pos(2)あ! あ! あ! にいさま!
まさか またあえるなんて。。。
アタシ にいさまの おやくに
たてましたか?\n"
TX_058e,"\pos(2)あ! あ! あ! にいさま!
まさか またあえるなんて。。。
アタシ にいさまの おやくに
たてましたか?\n"
TX_058f,"\pos(2)あ! あ! あ! にいさま!
まさか またあえるなんて。。。
アタシ にいさまの おやくに
たてましたか?\n"
TX_05a8,"\pos(2)あ! あ! あ! にいさま!
まさか またあえるなんて。。。
アタシ にいさまの おやくに
たてましたか?\n"
TX_05a9,"\pos(2)\col(3)ベラン\col(0)は \col(3)暗黒の塔\col(0)のイチバン上に
いるのです!"
TX_05aa,"\pos(2)「まやかしの目」という
とっても コワいワナが
あるらしいのです。。。ビクビク"
TX_05ab,"\pos(2)「まやかしの目」という
とっても コワいワナが
あるらしいのです。。。ビクビク"
TX_05ac,"わたしよわたし! \col(3)マカの木\col(4)よ
あのね \col(3)西のもり\col(4)から
\col(2)ことわり\col(4)のひびきが きこえるの
いってみてはどうかしら?"
TX_05ad,"わたしよわたし! \col(3)マカの木\col(4)よ
あのね \col(3)西のもり\col(4)から
\col(2)ことわり\col(4)のひびきが きこえるの
いってみてはどうかしら?"
TX_05ae,"わたしよわたし! \col(3)マカの木\col(4)よ
あのね \col(3)西のもり\col(4)から
\col(2)ことわり\col(4)のひびきが きこえるの
いってみてはどうかしら?"
TX_05af,"わたしよわたし! \col(3)マカの木\col(4)よ
あのね \col(3)西のもり\col(4)から
\col(2)ことわり\col(4)のひびきが きこえるの
いってみてはどうかしら?"
TX_05b0,"わたしよわたし! \col(3)マカの木\col(4)よ
あのね \col(3)西のもり\col(4)から
\col(2)ことわり\col(4)のひびきが きこえるの
いってみてはどうかしら?"
TX_05c0,"わたしよわたし! \col(3)マカの木\col(4)よ
あのね \col(3)西のもり\col(4)から
\col(2)ことわり\col(4)のひびきが きこえるの
いってみてはどうかしら?"
TX_05b1,"\Linkさま ダイジョウブ?
これじゃ 中に入れないじゃない!
いま どけてしまった いわが
この どうくつを ささえていた
かなめのいし だったのね
ウ-ン どうしたら。。。
時のみこ\col(3)ネ-ル\col(4)なら なにか
いいほうほうを おしえてくれた
かもしれないんだけどな。。。\stop
そうだ! \col(3)ネ-ルのいえ\col(4)にいけば
なにか 手がかりが
のこっているかもしれないわね!
いってみると いいんじゃない?"
TX_05c1,"\Linkさま ダイジョウブ?
これじゃ 中に入れないじゃない!
いま どけてしまった いわが
この どうくつを ささえていた
かなめのいし だったのね
ウ-ン どうしたら。。。
時のみこ\col(3)ネ-ル\col(4)なら なにか
いいほうほうを おしえてくれた
かもしれないんだけどな。。。\stop
そうだ! \col(3)ネ-ルのいえ\col(4)にいけば
なにか 手がかりが
のこっているかもしれないわね!
いってみると いいんじゃない?"
TX_05b2,"\Linkさま それ!
\col(2)時のたてごと\col(4)じゃない!
それがあれば \col(3)時のあな\col(4)から
じだいを さかのぼれるんじゃ
ないかしら\stop
いまの じだいのどうくつは
くずれちゃったけど
ひょっとしたら なんとか
なるんじゃ ないかしら?"
TX_05c2,"\Linkさま それ!
\col(2)時のたてごと\col(4)じゃない!
それがあれば \col(3)時のあな\col(4)から
じだいを さかのぼれるんじゃ
ないかしら\stop
いまの じだいのどうくつは
くずれちゃったけど
ひょっとしたら なんとか
なるんじゃ ないかしら?"
TX_05b3,"にいさま! \Linkにいさま!
南の海にうかぶ\col(3)ミカヅキじま\col(4)に
\col(2)時空のことわり\col(4)のけはいを
かんじたのです!!
村のうみべで どうやっていくか
かんがえるですよ!"
TX_05c3,"にいさま! \Linkにいさま!
南の海にうかぶ\col(3)ミカヅキじま\col(4)に
\col(2)時空のことわり\col(4)のけはいを
かんじたのです!!
村のうみべで どうやっていくか
かんがえるですよ!"
TX_05b4,"\Linkさま! \col(2)けもののきおく\col(4)
手に入れたのね!
でもね 世の中って なかなか
うまくいかないみたい。。。
むかしの世界で \col(3)暗黒の塔\col(4)が
だんだん できてきているのよ
いそがないと ホントに
たいへんなことに なっちゃうよ!
\col(3)レンヌのまち\col(4)の北西の山から
\col(2)ことわり\col(4)のひびきが きこえるわ
いってみてくれない?"
TX_05c4,"\Linkさま! \col(2)けもののきおく\col(4)
手に入れたのね!
でもね 世の中って なかなか
うまくいかないみたい。。。
むかしの世界で \col(3)暗黒の塔\col(4)が
だんだん できてきているのよ
いそがないと ホントに
たいへんなことに なっちゃうよ!
\col(3)レンヌのまち\col(4)の北西の山から
\col(2)ことわり\col(4)のひびきが きこえるわ
いってみてくれない?"
TX_05b5,"わたしもだんだん いろいろと
おもいだしてきたよ〜
たしか \col(3)ネ-ルのいえ\col(4)の北の山が
\col(2)ことわり\col(4)と カンケイあるハズよ"
TX_05c5,"わたしもだんだん いろいろと
おもいだしてきたよ〜
たしか \col(3)ネ-ルのいえ\col(4)の北の山が
\col(2)ことわり\col(4)と カンケイあるハズよ"
TX_05b6,"\Linkさま! いまね
わたしも ビックリしてるんだけど
\Linkさまって ゴロンぞくの
いいつたえに でてきてるのよ
でね どんなハナシかっていうと
むかし ゴロンぞくのいちだいじに
カッコよく あらわれて
ゴロンの ピンチをすくったって
いうのよ
これって どういうことかしら?"
TX_05c6,"\Linkさま! いまね
わたしも ビックリしてるんだけど
\Linkさまって ゴロンぞくの
いいつたえに でてきてるのよ
でね どんなハナシかっていうと
むかし ゴロンぞくのいちだいじに
カッコよく あらわれて
ゴロンの ピンチをすくったって
いうのよ
これって どういうことかしら?"
TX_05b7,"\Linkさま!
まだ \col(3)ゴロゴロ山\col(4)で
\col(2)ことわり\col(4)のひびきがきこえるわ
アレ? だれか きたみたいよ!"
TX_05c7,"\Linkさま!
まだ \col(3)ゴロゴロ山\col(4)で
\col(2)ことわり\col(4)のひびきがきこえるわ
アレ? だれか きたみたいよ!"
TX_05b8,"にいさま! \Linkにいさま!
スゴイ お知らせなのです!!
いま \col(3)アンビ女王\col(4)さまが
お出かけに なったのです!
むっふっふ チャ-ンス!\stop
\col(3)ネ-ル\col(4)ねえさまを たすけるのは
いましか ないのです!!"
TX_05c8,"にいさま! \Linkにいさま!
スゴイ お知らせなのです!!
いま \col(3)アンビ女王\col(4)さまが
お出かけに なったのです!
むっふっふ チャ-ンス!\stop
\col(3)ネ-ル\col(4)ねえさまを たすけるのは
いましか ないのです!!"
TX_05b9,"\col(3)ネ-ル\col(4)をたすけただけじゃ
ダメってことなのかぁ。。。
やっぱり \col(3)ベラン\col(4)のせいで
まだ ヘンな世界のままなんだわ
\Linkさま!
さいごの\col(2)ことわり\col(4)のひびきが
ぜんぜん きこえてこないの。。。
でも \col(3)ラブレンヌ\col(4)のどこかに
きっと あるハズよ!
\Linkさまだけが たよりなの
がんばって!"
TX_05c9,"\col(3)ネ-ル\col(4)をたすけただけじゃ
ダメってことなのかぁ。。。
やっぱり \col(3)ベラン\col(4)のせいで
まだ ヘンな世界のままなんだわ
\Linkさま!
さいごの\col(2)ことわり\col(4)のひびきが
ぜんぜん きこえてこないの。。。
でも \col(3)ラブレンヌ\col(4)のどこかに
きっと あるハズよ!
\Linkさまだけが たよりなの
がんばって!"
TX_05ba,"\Linkにいさま!
ありがとう!
ついに 8つの\col(2)時空のことわり\col(4)が
あつまったのですね!
これで アタシ
\Linkにいさまの やくにたつ
すごいものを つくれるように
なったんです!
アタシがオトナになったら
あいにきてください!
アタシは にいさまがくるのを
ずっと ず〜っと まつのです!"
TX_05ca,"\Linkにいさま!
ありがとう!
ついに 8つの\col(2)時空のことわり\col(4)が
あつまったのですね!
これで アタシ
\Linkにいさまの やくにたつ
すごいものを つくれるように
なったんです!
アタシがオトナになったら
あいにきてください!
アタシは にいさまがくるのを
ずっと ず〜っと まつのです!"
TX_05bb,\Linkにいさま やったのです
TX_05bc,\Linkにいさま やったのです
TX_05bd,\Linkにいさま やったのです
TX_05be,\Linkにいさま やったのです
TX_05bf,\Linkにいさま やったのです
TX_05cb,\Linkにいさま やったのです
TX_05cc,"\pos(2)いや-!! いやです-!!
や-め-て-く-だ-さ-い-!!"
TX_05cd,"\pos(2)いや-!! いやです-!!
や-め-て-く-だ-さ-い-!!"
TX_05ce,"\pos(2)いや-!! いやです-!!
や-め-て-く-だ-さ-い-!!"
TX_05cf,"\pos(2)いや-!! いやです-!!
や-め-て-く-だ-さ-い-!!"
TX_05d0,"\pos(2)いや-!! いやです-!!
や-め-て-く-だ-さ-い-!!"
TX_05d1,"\pos(2)キャ-!
おにいさま! がんばって-!"
TX_05d2,\pos(2)キャ-!! カ-ッコイ-!!
TX_05d3,"あ ありがとうございます!!
あなたの おなまえは?\stop
\Link!
よい なまえなのです!!
アタシ \col(3)マカの木\col(0)です!
にいさま つよくてカッコイイ!
あのまものたち 時のみこの
ねえさまのハナシをしていたです
\col(3)アンビ女王\col(0)さまを そそのかして
\col(3)暗黒の塔\col(0)を たてているって。。。
まものたちに アタシを
おそわせたのも もしかして。。。\stop
とにかく! たすけていただいて
ありがとうございました!!
ごおんは ずっと ず〜っと
わすれません!
アタシが 大きくなったら
ぜったい おれいするのです!
いまは。。。 これぐらいしか
できないのですが。。。
ん〜 エイッ!"
TX_05d4,"\pos(2)にいさま!!
。。。あの。。。
。。。その。。。
アタシ 大きくなったら
にいさまの おヨメさまに
なりたいです!
キャ-ッ! いっちゃった-!!"
TX_05d5,ああ \Linkにいさま。。。
TX_05d6,"\pos(2)おぼえておいてください!
アタシが 大きくなったら
にいさまの おやくにたつのです!
だから きっとあいにきてください"
TX_05d7,"にいさま! やりました-!!
スゴ-イ!! やった!!
これで \col(3)ラブレンヌ\col(4)のみなさんも
しあわせになるのです-!"
TX_0600,"\pos(0)ツラいでしょうが なにがあっても
あきらめないでください
キボウをすてなければ あなたの
おとうさまは きっと
もとのように あそんでくれる
そう しんじるのです"
TX_0601,"あぶないトコロを たすけてくれて
ありがとう
わたしの なは \col(3)ゼルダ\col(0)
あなたが \Linkですね
ひとめ見れば わかります
たすけてくれた おれいの
きもちです
これを うけとってください"
TX_0602,さあ とにかく そとへ出ましょう
TX_0603,"ごめんなさい
しんぱいを かけてしまって。。。
けれども わたしは
見てしまったのです。。。
ぜつぼうと なげきに みたされ
世界が ほろんでいくすがたを!"
TX_0604,"\Link\stop
あなたの 左手にある▲のアザは
勇者のあかしです
このまま \col(3)ベラン\col(0)のおもいどおりに
させるわけには いきません!
\col(3)ツインロ-バ\col(0)のやぼうを
くいとめ 世界をすくえるのは
あなただけなのです!\stop
おねがいです \Link
その手で 闇をふりはらい
この世界を まもってください!"
TX_0605,"あなたには めいわくをかけて
しまいました
このままでは 世界が闇に
おおわれてしまうと かんがえると
いてもたっても
いられなかったのです
いっこくもはやく \col(3)ネ-ル\col(0)を
すくいだしてあげてください!"
TX_0606,"まだ 世界をおおう闇は
きえさっては いません。。。
闇がすべてを おおいつくすまえに
\col(3)ベラン\col(0)のやぼうを
くいとめなければなりません"
TX_0607,"わたしからも おねがいします\stop
このままでは
このじだいの人たちだけでなく
すべてのじだいの人たちが
ふこうになってしまうでしょう
\col(3)ネ-ル\col(0)と\col(3)インパ\col(0)とわたしは
村で このじだいの人たちの
力になってあげられるよう
がんばってみます
\Link
よろしく おねがいします"
TX_0608,"\pos(2)\Link あなたのぶじを
いつも いのっています"
TX_0609,     キャ---!
TX_060a,"\col(3)ネ-ル\col(0)に ムリをいって
わたしも きてしまいました
\col(3)インパ\col(0)には とめられたのですが
わたしひとりが なにもせずに
ただ だまって 見ているワケには
いきませんもの"
TX_060b,"この村の人たちのことは
まかせてください
\Linkは \col(3)ベラン\col(0)を
そして
\col(3)ラルフ\col(0)のことを たのみます!"
TX_0700,"アイタタタ。。。\stop
ドコ見て あるいてんのよ!
アタシを 大まほうつかい。。。
みならいの \col(3)メイプル\col(0)と知って
ぶつかっているの!
おかげで カバンの中のモノが
とびちっちゃったじゃないの!
ししょうは 人づかいあらいわ
人の\col(1)えほん\col(0)も とりあげちゃうわ
あ- あの\col(0x84)\item(0x09)\col(1)えほん\col(0) だれか
もってないのかしら\stop
とにかく! そんなこんなで
アタシは イライラしてんのよ!
こうなったら アンタのおとした
ぶんも もらってやるんだから!"
TX_0701,"また、アンタね!\stop
おかげで カバンの中のモノが
とびちっちゃったじゃないの!
この\col(3)メイプル\col(0)さまに ぶつかって
くるなんて いいドキョウよ
こうなったら アンタのおとした
ぶんも もらってやるわ
いくわよ-!"
TX_0702,"イッタ-イ!
ああ! またアンタね!
アタシに なにかウラミでも
あるの!
おかげで カバンの中のモノが
とびちっちゃったじゃないの!
こうなったら アンタのおとした
ぶんも もらってやるんだから!"
TX_0703,"ああ! カバンのなかみが
とびちっちゃったじゃない!
こうなったら アンタのおとした
ぶんも もらってやるんだから!
この \col(3)メイプル\col(0)さまを
おこらせたら どうなるか
おしえてあげるわ!"
TX_0704,"アイタタ。。。
あっ また出たわね!
カバンのなかみが
とびちっちゃったじゃない!
こうなったら
アンタのぶんの アイテムも
ぶんどって やるんだから!
いくわよ!"
TX_0705,"また出たわね!
もうコトバは いらないわ
はやい者がち しょうぶよ!
ようい。。。。ドン!"
TX_0706,"ウフフ どう?
おそれいったでしょ
アンタのおかげで アイテムが
ふえたわ それじゃあね-"
TX_0707,"キ-ッ! くやしい!
おぼえてらっしゃい!"
TX_0708,"フン! やるじゃないの\stop
きょうは これぐらいに
しといてあげるわ"
TX_0709,"アイタタタ。。。\stop
ドコ見て あるいてんのよ!
アタシを 大まほうつかい。。。
みならいの \col(3)メイプル\col(0)と知って
ぶつかっているの!\stop
アラ!"
TX_070a,"アタシに ぶつかってきたことは
これで チャラにしてあげるわ
じゃあね!"
TX_070b,"アタシに ぶつかってきたことは
これで チャラにしてあげるわ
じゃあね!"
TX_070c,"アッ!
。 。 。 。 。 。\stop
じゃあね\heart"
TX_070d,ハッ! その本!
TX_070e,"ししょうに とりあげられたハズの
\col(0x84)\item(0x09)\col(1)おセンチえほん\col(0)じゃない!
なんでアンタが コレもってんのよ
アタシに よませなさいよね!"
TX_070f,"ど-れどれ。。。?\stop
ふんふん。。。\stop
。。。。。。\stop
うっ。。。"
TX_0710,"じわ〜ん。。。。。\stop
ああ。。。
かんどうだわ。。。"
TX_0711,"ありがと-。。。グスン
いいモノ よませてくれて。。。
おれいに ソレあげるわ
アタシが はじめてつくったの
ししょうは ゼンゼン
ほめてくれなかったけど。。。
じゃあね。。。
コレはもらっていくわ グスン"
TX_0712,"アイタタタ。。。\stop
ドコ見て あるいてんのよ!
ヘンなトンネルを とおって
見知らぬ空を きもちよく
とんでいたのに!!
アタシを 大まほうつかい。。。
みならいの \col(3)メイプル\col(0)と知って
ぶつかっているの!
おかげで カバンの中のモノが
とびちっちゃったじゃないの!
ししょうは 人づかいあらいわ
人の\col(1)えほん\col(0)も とりあげちゃうわ
あ- あの\col(0x84)\item(0x09)\col(1)えほん\col(0) だれか
もってないのかしら\stop
とにかく! そんなこんなで
アタシは イライラしてんのよ!
こうなったら アンタのおとした
ぶんも もらってやるんだから!"
TX_0713,"アイタタタ。。。\stop
ドコ見て あるいてんのよ!
ヘンなトンネルを とおって
見知らぬ空を きもちよく
とんでいたのに!!
なんでアンタが こんなとこに
いるのよ!
こうなったら アンタのおとした
ぶんも もらってやるんだから!"
TX_0800,"うちは マトあてや だよ
1プレイ10ルピ- やるかい?
   \opt()やる \opt()やらない"
TX_0801,"それじゃ
ル-ルのせつめいを きくかい?
  \opt()きかない \opt()きく"
TX_0802,ムリにとは いわないよ。。。
TX_0803,"ルピ-がたりないようだね
また きておくれ"
TX_0804,"とんでくるたまを 剣でうちかえし
まとにあてるんだよ
まとはそれぞれ
てんすうが ちがうんだ
“てんしのぞう”が  100てん
“あおいいし”が    30てん
“あかいいし”が   -10てん
“アクマのぞう”が  -50てん
“からぶり”は    -50てん
となっている
たまを 10ぱつうちかえして
そのごうけいてんによって
しょうひんがきまるのさ
わかったかい?
  \opt()わかった \opt()もういちど"
TX_0805,"それじゃ はじめるよ!
ようい。。。"
TX_0806,"ざんねん。。。
0てん"
TX_0807,"“あおいいし”\times1
30\times1=30てん"
TX_0808,"“てんしのぞう”\times1
100\times1=100てん"
TX_0809,"“あかいいし”\times1
-10\times1=-10てん"
TX_080a,"“アクマのぞう”\times1
-50\times1=-50てん"
TX_080b,"“あおいいし”\times2
30\times2=60てん"
TX_080c,"“あかいいし”\times2
-10\times2=-20てん"
TX_080d,"“あおいいし”\times1
“あかいいし”\times1
30-10=20てん"
TX_080e,"“あおいいし”\times1
“てんしのぞう”\times1
30+100=130てん"
TX_080f,"“あおいいし”\times1
“アクマのぞう”\times1
30-50=-20てん"
TX_0810,"“てんしのぞう”\times1
“あかいいし”\times1
100-10=90てん"
TX_0811,"“てんしのぞう”\times1
“アクマのぞう”\times1
100-50=50てん"
TX_0812,"“あかいいし”\times1
“アクマのぞう”\times1
-10-50=-60てん"
TX_0813,"げんざいのト-タルは
\num1てん"
TX_0814,ごうけい \num1てん
TX_0815,"350てん いじょうだから
しょうひんは\col(1)ゆびわ\col(0)!"
TX_0816,"250てん いじょうだから
しょうひんは\col(1)ガチャのタネ\col(0)!"
TX_0817,"150てん いじょうだから
しょうひんは\col(1)30ルピ-\col(0)!"
TX_0818,"50てん いじょうだから
しょうひんは\col(1)ハ-ト1コ\col(0)"
TX_0819,"50てんより下ね。。。
また チャレンジしてちょうだい"
TX_081a,"もういちど 10ルピ-で やる?
   \opt()やる \opt()やらない"
